Batsman Name,Batting Pos,selection1_batsmen_Out_NotOut,selection1_batsmen_Runs,selection1_batsmen_Balls,selection1_batsmen_Fours,selection1_batsmen_Sixes,selection1_batsmen_Strike_Rate,selection1_batsmen_Team,selection1_batsmen_Match_No,Ground,Date
Mayank Agarwal,2,c Curran b Chahar,21,20,3,0,105,Sunrisers Hyderabad,14th Match (N), Hyderabad, April 09
Rahul Tripathi,3,not out,74,48,10,3,154.16,Sunrisers Hyderabad,14th Match (N), Hyderabad, April 09
Aiden Markram (c),4,not out,37,21,6,0,176.19,Sunrisers Hyderabad,14th Match (N), Hyderabad, April 09
Virat Kohli,1,c Stoinis b Mishra,61,44,4,4,138.63,Royal Challengers Bangalore,15th Match (N), Bengaluru, April 10
Faf du Plessis (c),2,not out,79,46,5,5,171.73,Royal Challengers Bangalore,15th Match (N), Bengaluru, April 10
Glenn Maxwell,3,b Wood,59,29,3,6,203.44,Royal Challengers Bangalore,15th Match (N), Bengaluru, April 10
Dinesh Karthik †,4,not out,1,1,0,0,100,Royal Challengers Bangalore,15th Match (N), Bengaluru, April 10
Kyle Mayers,1,b Mohammed Siraj,0,3,0,0,0,Lucknow Super Giants,15th Match (N), Bengaluru, April 10
KL Rahul (c),2,c Kohli b Mohammed Siraj,18,20,1,0,90,Lucknow Super Giants,15th Match (N), Bengaluru, April 10
Deepak Hooda,3,c †Karthik b Parnell,9,10,1,0,90,Lucknow Super Giants,15th Match (N), Bengaluru, April 10
Krunal Pandya,4,c †Karthik b Parnell,0,2,0,0,0,Lucknow Super Giants,15th Match (N), Bengaluru, April 10
Marcus Stoinis,5,c Shahbaz Ahmed b Sharma,65,30,6,5,216.66,Lucknow Super Giants,15th Match (N), Bengaluru, April 10
Nicholas Pooran †,6,c Shahbaz Ahmed b Mohammed Siraj,62,19,4,7,326.31,Lucknow Super Giants,15th Match (N), Bengaluru, April 10
Ayush Badoni,7,hit wicket b Parnell,30,24,4,0,125,Lucknow Super Giants,15th Match (N), Bengaluru, April 10
Jaydev Unadkat,8,c du Plessis b Patel,9,7,1,0,128.57,Lucknow Super Giants,15th Match (N), Bengaluru, April 10
Mark Wood,9,b Patel,1,2,0,0,50,Lucknow Super Giants,15th Match (N), Bengaluru, April 10
Ravi Bishnoi,10,not out,3,2,0,0,150,Lucknow Super Giants,15th Match (N), Bengaluru, April 10
Avesh Khan,11,not out,0,1,0,0,0,Lucknow Super Giants,15th Match (N), Bengaluru, April 10
David Warner (c),1,c Meredith b Behrendorff,51,47,6,0,108.51,Delhi Capitals,16th Match (N), Delhi, April 11
Prithvi Shaw,2,c Green b Shokeen,15,10,3,0,150,Delhi Capitals,16th Match (N), Delhi, April 11
Manish Pandey,3,c Behrendorff b Chawla,26,18,5,0,144.44,Delhi Capitals,16th Match (N), Delhi, April 11
Yash Dhull,4,c Wadhera b Meredith,2,4,0,0,50,Delhi Capitals,16th Match (N), Delhi, April 11
Rovman Powell,5,lbw b Chawla,4,4,1,0,100,Delhi Capitals,16th Match (N), Delhi, April 11
Lalit Yadav,6,b Chawla,2,4,0,0,50,Delhi Capitals,16th Match (N), Delhi, April 11
Axar Patel,7,c Arshad Khan b Behrendorff,54,25,4,5,216,Delhi Capitals,16th Match (N), Delhi, April 11
Abishek Porel †,8,c Green b Behrendorff,1,3,0,0,33.33,Delhi Capitals,16th Match (N), Delhi, April 11
Kuldeep Yadav,9,run out (Wadhera),0,1,0,0,0,Delhi Capitals,16th Match (N), Delhi, April 11
Anrich Nortje,10,b Meredith,5,3,1,0,166.66,Delhi Capitals,16th Match (N), Delhi, April 11
Mustafizur Rahman,11,not out,1,1,0,0,100,Delhi Capitals,16th Match (N), Delhi, April 11
Rohit Sharma (c),1,c †Abishek Porel b Mustafizur Rahman,65,45,6,4,144.44,Mumbai Indians,16th Match (N), Delhi, April 11
Ishan Kishan †,2,run out (Mukesh Kumar/Lalit Yadav),31,26,6,0,119.23,Mumbai Indians,16th Match (N), Delhi, April 11
Tilak Varma,3,c Pandey b Mukesh Kumar,41,29,1,4,141.37,Mumbai Indians,16th Match (N), Delhi, April 11
Suryakumar Yadav,4,c Kuldeep Yadav b Mukesh Kumar,0,1,0,0,0,Mumbai Indians,16th Match (N), Delhi, April 11
Tim David,5,not out,13,11,0,1,118.18,Mumbai Indians,16th Match (N), Delhi, April 11
Cameron Green,6,not out,17,8,1,1,212.5,Mumbai Indians,16th Match (N), Delhi, April 11
Yashasvi Jaiswal,1,c Dube b Deshpande,10,8,2,0,125,Rajasthan Royals,17th Match (N), Chennai, April 12
Jos Buttler,2,b Ali,52,36,1,3,144.44,Rajasthan Royals,17th Match (N), Chennai, April 12
Devdutt Padikkal,3,c Conway b Jadeja,38,26,5,0,146.15,Rajasthan Royals,17th Match (N), Chennai, April 12
Sanju Samson (c)†,4,b Jadeja,0,2,0,0,0,Rajasthan Royals,17th Match (N), Chennai, April 12
Ravichandran Ashwin,5,c Magala b Akash Singh,30,22,1,2,136.36,Rajasthan Royals,17th Match (N), Chennai, April 12
Shimron Hetmyer,6,not out,30,18,2,2,166.66,Rajasthan Royals,17th Match (N), Chennai, April 12
Dhruv Jurel,7,c Dube b Akash Singh,4,6,0,0,66.66,Rajasthan Royals,17th Match (N), Chennai, April 12
Jason Holder,8,c Conway b Deshpande,0,1,0,0,0,Rajasthan Royals,17th Match (N), Chennai, April 12
Adam Zampa,9,run out (Theekshana/†Dhoni),1,1,0,0,100,Rajasthan Royals,17th Match (N), Chennai, April 12
Ruturaj Gaikwad,1,c Jaiswal b Sandeep Sharma,8,10,1,0,80,Chennai Super Kings,17th Match (N), Chennai, April 12
Devon Conway,2,c Jaiswal b Chahal,50,38,6,0,131.57,Chennai Super Kings,17th Match (N), Chennai, April 12
Ajinkya Rahane,3,lbw b Ashwin,31,19,2,1,163.15,Chennai Super Kings,17th Match (N), Chennai, April 12
Shivam Dube,4,lbw b Ashwin,8,9,1,0,88.88,Chennai Super Kings,17th Match (N), Chennai, April 12
Moeen Ali,5,c Sandeep Sharma b Zampa,7,10,0,0,70,Chennai Super Kings,17th Match (N), Chennai, April 12
Ambati Rayudu,6,c Hetmyer b Chahal,1,2,0,0,50,Chennai Super Kings,17th Match (N), Chennai, April 12
Ravindra Jadeja,7,not out,25,15,1,2,166.66,Chennai Super Kings,17th Match (N), Chennai, April 12
MS Dhoni (c)†,8,not out,32,17,1,3,188.23,Chennai Super Kings,17th Match (N), Chennai, April 12
Prabhsimran Singh,1,c Rashid Khan b Mohammed Shami,0,2,0,0,0,Punjab Kings,18th Match (N), Mohali, April 13
Shikhar Dhawan (c),2,c Joseph b Little,8,8,2,0,100,Punjab Kings,18th Match (N), Mohali, April 13
Matthew Short,3,b Rashid Khan,36,24,6,1,150,Punjab Kings,18th Match (N), Mohali, April 13
Bhanuka Rajapaksa,4,c Shubman Gill b Joseph,20,26,1,0,76.92,Punjab Kings,18th Match (N), Mohali, April 13
Jitesh Sharma †,5,c †Saha b Sharma,25,23,5,0,108.69,Punjab Kings,18th Match (N), Mohali, April 13
Sam Curran,6,c Shubman Gill b Sharma,22,22,1,1,100,Punjab Kings,18th Match (N), Mohali, April 13
M Shahrukh Khan,7,run out (Miller/†Saha),22,9,1,2,244.44,Punjab Kings,18th Match (N), Mohali, April 13
Harpreet Brar,8,not out,8,5,0,1,160,Punjab Kings,18th Match (N), Mohali, April 13
Rishi Dhawan,9,run out (†Saha),1,1,0,0,100,Punjab Kings,18th Match (N), Mohali, April 13
Wriddhiman Saha †,1,c Short b Rabada,30,19,5,0,157.89,Gujarat Titans,18th Match (N), Mohali, April 13
Shubman Gill,2,b Curran,67,49,7,1,136.73,Gujarat Titans,18th Match (N), Mohali, April 13
Sai Sudharsan,3,c Prabhsimran Singh b Arshdeep Singh,19,20,2,0,95,Gujarat Titans,18th Match (N), Mohali, April 13
Hardik Pandya (c),4,c Curran b Harpreet Brar,8,11,1,0,72.72,Gujarat Titans,18th Match (N), Mohali, April 13
David Miller,5,not out,17,18,1,0,94.44,Gujarat Titans,18th Match (N), Mohali, April 13
Rahul Tewatia,6,not out,5,2,1,0,250,Gujarat Titans,18th Match (N), Mohali, April 13
Harry Brook,1,not out,100,55,12,3,181.81,Sunrisers Hyderabad,19th Match (N), Eden Gardens, April 14
Mayank Agarwal,2,c Varun b Russell,9,13,0,0,69.23,Sunrisers Hyderabad,19th Match (N), Eden Gardens, April 14
Rahul Tripathi,3,c †Rahmanullah Gurbaz b Russell,9,4,2,0,225,Sunrisers Hyderabad,19th Match (N), Eden Gardens, April 14
Aiden Markram (c),4,c Russell b Varun,50,26,2,5,192.3,Sunrisers Hyderabad,19th Match (N), Eden Gardens, April 14
Abhishek Sharma,5,c Thakur b Russell,32,17,3,2,188.23,Sunrisers Hyderabad,19th Match (N), Eden Gardens, April 14
Heinrich Klaasen †,6,not out,16,6,2,1,266.66,Sunrisers Hyderabad,19th Match (N), Eden Gardens, April 14
Rahmanullah Gurbaz †,1,c Umran Malik b Kumar,0,3,0,0,0,Kolkata Knight Riders,19th Match (N), Eden Gardens, April 14
Narayan Jagadeesan,2,c sub (GD Phillips) b Markande,36,21,5,1,171.42,Kolkata Knight Riders,19th Match (N), Eden Gardens, April 14
Venkatesh Iyer,3,c Markram b Jansen,10,11,2,0,90.9,Kolkata Knight Riders,19th Match (N), Eden Gardens, April 14
Sunil Narine,4,c Markram b Jansen,0,1,0,0,0,Kolkata Knight Riders,19th Match (N), Eden Gardens, April 14
Nitish Rana (c),5,c Washington Sundar b Natarajan,75,41,5,6,182.92,Kolkata Knight Riders,19th Match (N), Eden Gardens, April 14
Andre Russell,6,c Jansen b Markande,3,6,0,0,50,Kolkata Knight Riders,19th Match (N), Eden Gardens, April 14
Rinku Singh,7,not out,58,31,4,4,187.09,Kolkata Knight Riders,19th Match (N), Eden Gardens, April 14
Shardul Thakur,8,c Washington Sundar b Umran Malik,12,7,2,0,171.42,Kolkata Knight Riders,19th Match (N), Eden Gardens, April 14
Umesh Yadav,9,not out,1,1,0,0,100,Kolkata Knight Riders,19th Match (N), Eden Gardens, April 14
Virat Kohli,1,c Dhull b Lalit Yadav,50,34,6,1,147.05,Royal Challengers Bangalore,20th Match (D/N), Bengaluru, April 15
Faf du Plessis (c),2,c Aman Hakim Khan b Marsh,22,16,3,1,137.5,Royal Challengers Bangalore,20th Match (D/N), Bengaluru, April 15
Mahipal Lomror,3,c †Abishek Porel b Marsh,26,18,0,2,144.44,Royal Challengers Bangalore,20th Match (D/N), Bengaluru, April 15
Glenn Maxwell,4,c Warner b Kuldeep Yadav,24,14,0,3,171.42,Royal Challengers Bangalore,20th Match (D/N), Bengaluru, April 15
Harshal Patel,5,c †Abishek Porel b Patel,6,4,0,1,150,Royal Challengers Bangalore,20th Match (D/N), Bengaluru, April 15
Shahbaz Ahmed,6,not out,20,12,3,0,166.66,Royal Challengers Bangalore,20th Match (D/N), Bengaluru, April 15
Dinesh Karthik †,7,c Lalit Yadav b Kuldeep Yadav,0,1,0,0,0,Royal Challengers Bangalore,20th Match (D/N), Bengaluru, April 15
Anuj Rawat,8,not out,15,22,1,0,68.18,Royal Challengers Bangalore,20th Match (D/N), Bengaluru, April 15
David Warner (c),1,c Kohli b Vyshak,19,13,4,0,146.15,Delhi Capitals,20th Match (D/N), Bengaluru, April 15
Prithvi Shaw,2,run out (Anuj Rawat),0,2,0,0,0,Delhi Capitals,20th Match (D/N), Bengaluru, April 15
Mitchell Marsh,3,c Kohli b Parnell,0,4,0,0,0,Delhi Capitals,20th Match (D/N), Bengaluru, April 15
Yash Dhull,4,lbw b Mohammed Siraj,1,4,0,0,25,Delhi Capitals,20th Match (D/N), Bengaluru, April 15
Manish Pandey,5,lbw b de Silva,50,38,5,1,131.57,Delhi Capitals,20th Match (D/N), Bengaluru, April 15
Abishek Porel †,6,c Parnell b Patel,5,8,0,0,62.5,Delhi Capitals,20th Match (D/N), Bengaluru, April 15
Axar Patel,7,c Mohammed Siraj b Vyshak,21,14,3,0,150,Delhi Capitals,20th Match (D/N), Bengaluru, April 15
Aman Hakim Khan,8,c Kohli b Mohammed Siraj,18,10,1,1,180,Delhi Capitals,20th Match (D/N), Bengaluru, April 15
Lalit Yadav,9,c Maxwell b Vyshak,4,7,0,0,57.14,Delhi Capitals,20th Match (D/N), Bengaluru, April 15
Anrich Nortje,10,not out,23,14,4,0,164.28,Delhi Capitals,20th Match (D/N), Bengaluru, April 15
Kuldeep Yadav,11,not out,7,6,1,0,116.66,Delhi Capitals,20th Match (D/N), Bengaluru, April 15
KL Rahul (c),1,c sub (NT Ellis) b Arshdeep Singh,74,56,8,1,132.14,Lucknow Super Giants,21st Match (N), Lucknow, April 15
Kyle Mayers,2,c Harpreet Singh b Harpreet Brar,29,23,1,3,126.08,Lucknow Super Giants,21st Match (N), Lucknow, April 15
Deepak Hooda,3,lbw b Sikandar Raza,2,3,0,0,66.66,Lucknow Super Giants,21st Match (N), Lucknow, April 15
Krunal Pandya,4,c Shahrukh Khan b Rabada,18,17,2,0,105.88,Lucknow Super Giants,21st Match (N), Lucknow, April 15
Nicholas Pooran †,5,c Shahrukh Khan b Rabada,0,1,0,0,0,Lucknow Super Giants,21st Match (N), Lucknow, April 15
Marcus Stoinis,6,c †Sharma b Curran,15,11,0,2,136.36,Lucknow Super Giants,21st Match (N), Lucknow, April 15
Ayush Badoni,7,not out,5,6,0,0,83.33,Lucknow Super Giants,21st Match (N), Lucknow, April 15
Krishnappa Gowtham,8,c Sikandar Raza b Curran,1,2,0,0,50,Lucknow Super Giants,21st Match (N), Lucknow, April 15
Yudhvir Singh,9,c Shahrukh Khan b Curran,0,1,0,0,0,Lucknow Super Giants,21st Match (N), Lucknow, April 15
Ravi Bishnoi,10,not out,3,1,0,0,300,Lucknow Super Giants,21st Match (N), Lucknow, April 15
Atharva Taide,1,c Avesh Khan b Yudhvir Singh,0,3,0,0,0,Punjab Kings,21st Match (N), Lucknow, April 15
Prabhsimran Singh,2,b Yudhvir Singh,4,4,1,0,100,Punjab Kings,21st Match (N), Lucknow, April 15
Matthew Short,3,c Stoinis b Gowtham,34,22,5,1,154.54,Punjab Kings,21st Match (N), Lucknow, April 15
Harpreet Singh,4,c sub (PN Mankad) b Pandya,22,22,3,0,100,Punjab Kings,21st Match (N), Lucknow, April 15
Sikandar Raza,5,c Stoinis b Ravi Bishnoi,57,41,4,3,139.02,Punjab Kings,21st Match (N), Lucknow, April 15
Sam Curran (c),6,c Pandya b Ravi Bishnoi,6,6,1,0,100,Punjab Kings,21st Match (N), Lucknow, April 15
Jitesh Sharma †,7,c Rahul b Wood,2,4,0,0,50,Punjab Kings,21st Match (N), Lucknow, April 15
M Shahrukh Khan,8,not out,23,10,1,2,230,Punjab Kings,21st Match (N), Lucknow, April 15
Harpreet Brar,9,c †Pooran b Wood,6,4,1,0,150,Punjab Kings,21st Match (N), Lucknow, April 15
Kagiso Rabada,10,not out,0,1,0,0,0,Punjab Kings,21st Match (N), Lucknow, April 15
Rahmanullah Gurbaz †,1,c Jansen b Chawla,8,12,0,0,66.66,Kolkata Knight Riders,22nd Match (D/N), Wankhede, April 16
Narayan Jagadeesan,2,c Shokeen b Green,0,5,0,0,0,Kolkata Knight Riders,22nd Match (D/N), Wankhede, April 16
Venkatesh Iyer,3,c Jansen b Meredith,104,51,6,9,203.92,Kolkata Knight Riders,22nd Match (D/N), Wankhede, April 16
Nitish Rana (c),4,c sub (Ramandeep Singh) b Shokeen,5,10,0,0,50,Kolkata Knight Riders,22nd Match (D/N), Wankhede, April 16
Shardul Thakur,5,c Tilak Varma b Shokeen,13,11,1,0,118.18,Kolkata Knight Riders,22nd Match (D/N), Wankhede, April 16
Rinku Singh,6,c Wadhera b Jansen,18,18,2,0,100,Kolkata Knight Riders,22nd Match (D/N), Wankhede, April 16
Andre Russell,7,not out,21,11,3,1,190.9,Kolkata Knight Riders,22nd Match (D/N), Wankhede, April 16
Sunil Narine,8,not out,2,2,0,0,100,Kolkata Knight Riders,22nd Match (D/N), Wankhede, April 16
Rohit Sharma,1,c Yadav b Suyash Sharma,20,13,1,2,153.84,Mumbai Indians,22nd Match (D/N), Wankhede, April 16
Ishan Kishan †,2,b Varun,58,25,5,5,232,Mumbai Indians,22nd Match (D/N), Wankhede, April 16
Suryakumar Yadav (c),3,c †Rahmanullah Gurbaz b Thakur,43,25,4,3,172,Mumbai Indians,22nd Match (D/N), Wankhede, April 16
Tilak Varma,4,b Suyash Sharma,30,25,3,1,120,Mumbai Indians,22nd Match (D/N), Wankhede, April 16
Tim David,5,not out,24,13,1,2,184.61,Mumbai Indians,22nd Match (D/N), Wankhede, April 16
Nehal Wadhera,6,c †Rahmanullah Gurbaz b Ferguson,6,4,1,0,150,Mumbai Indians,22nd Match (D/N), Wankhede, April 16
Cameron Green,7,not out,1,1,0,0,100,Mumbai Indians,22nd Match (D/N), Wankhede, April 16
Wriddhiman Saha †,1,c & b Boult,4,3,1,0,133.33,Gujarat Titans,23rd Match (N), Ahmedabad, April 16
Shubman Gill,2,c Buttler b Sandeep Sharma,45,34,4,1,132.35,Gujarat Titans,23rd Match (N), Ahmedabad, April 16
Sai Sudharsan,3,run out (Buttler/†Samson),20,19,2,0,105.26,Gujarat Titans,23rd Match (N), Ahmedabad, April 16
Hardik Pandya (c),4,c Jaiswal b Chahal,28,19,3,1,147.36,Gujarat Titans,23rd Match (N), Ahmedabad, April 16
David Miller,5,c Hetmyer b Sandeep Sharma,46,30,3,2,153.33,Gujarat Titans,23rd Match (N), Ahmedabad, April 16
Abhinav Manohar,6,c Padikkal b Zampa,27,13,0,3,207.69,Gujarat Titans,23rd Match (N), Ahmedabad, April 16
Rahul Tewatia,7,not out,1,1,0,0,100,Gujarat Titans,23rd Match (N), Ahmedabad, April 16
Rashid Khan,8,run out (Buttler/Sandeep Sharma),1,1,0,0,100,Gujarat Titans,23rd Match (N), Ahmedabad, April 16
Alzarri Joseph,9,not out,0,0,0,0,-,Gujarat Titans,23rd Match (N), Ahmedabad, April 16
Yashasvi Jaiswal,1,c Shubman Gill b Pandya,1,7,0,0,14.28,Rajasthan Royals,23rd Match (N), Ahmedabad, April 16
Jos Buttler,2,b Mohammed Shami,0,5,0,0,0,Rajasthan Royals,23rd Match (N), Ahmedabad, April 16
Devdutt Padikkal,3,c Sharma b Rashid Khan,26,25,2,2,104,Rajasthan Royals,23rd Match (N), Ahmedabad, April 16
Sanju Samson (c)†,4,c Miller b Noor Ahmad,60,32,3,6,187.5,Rajasthan Royals,23rd Match (N), Ahmedabad, April 16
Riyan Parag,5,c Miller b Rashid Khan,5,7,0,0,71.42,Rajasthan Royals,23rd Match (N), Ahmedabad, April 16
Shimron Hetmyer,6,not out,56,26,2,5,215.38,Rajasthan Royals,23rd Match (N), Ahmedabad, April 16
Dhruv Jurel,7,c Sharma b Mohammed Shami,18,10,2,1,180,Rajasthan Royals,23rd Match (N), Ahmedabad, April 16
Ravichandran Ashwin,8,c Tewatia b Mohammed Shami,10,3,1,1,333.33,Rajasthan Royals,23rd Match (N), Ahmedabad, April 16
Trent Boult,9,not out,0,1,0,0,0,Rajasthan Royals,23rd Match (N), Ahmedabad, April 16
Ruturaj Gaikwad,1,c Parnell b Mohammed Siraj,3,6,0,0,50,Chennai Super Kings,24th Match (N), Bengaluru, April 17
Devon Conway,2,b Patel,83,45,6,6,184.44,Chennai Super Kings,24th Match (N), Bengaluru, April 17
Ajinkya Rahane,3,b de Silva,37,20,3,2,185,Chennai Super Kings,24th Match (N), Bengaluru, April 17
Shivam Dube,4,c Mohammed Siraj b Parnell,52,27,2,5,192.59,Chennai Super Kings,24th Match (N), Bengaluru, April 17
Ambati Rayudu,5,c †Karthik b Vyshak,14,6,1,1,233.33,Chennai Super Kings,24th Match (N), Bengaluru, April 17
Moeen Ali,6,not out,19,9,0,2,211.11,Chennai Super Kings,24th Match (N), Bengaluru, April 17
Ravindra Jadeja,7,c Prabhudessai b Maxwell,10,8,0,1,125,Chennai Super Kings,24th Match (N), Bengaluru, April 17
MS Dhoni (c)†,8,not out,1,1,0,0,100,Chennai Super Kings,24th Match (N), Bengaluru, April 17
Virat Kohli,1,b Akash Singh,6,4,1,0,150,Royal Challengers Bangalore,24th Match (N), Bengaluru, April 17
Faf du Plessis (c),2,c †Dhoni b Ali,62,33,5,4,187.87,Royal Challengers Bangalore,24th Match (N), Bengaluru, April 17
Mahipal Lomror,3,c Gaikwad b Deshpande,0,5,0,0,0,Royal Challengers Bangalore,24th Match (N), Bengaluru, April 17
Glenn Maxwell,4,c †Dhoni b Theekshana,76,36,3,8,211.11,Royal Challengers Bangalore,24th Match (N), Bengaluru, April 17
Shahbaz Ahmed,5,c Gaikwad b Pathirana,12,10,0,1,120,Royal Challengers Bangalore,24th Match (N), Bengaluru, April 17
Dinesh Karthik †,6,c Theekshana b Deshpande,28,14,3,1,200,Royal Challengers Bangalore,24th Match (N), Bengaluru, April 17
Suyash Prabhudessai,7,c Jadeja b Pathirana,19,11,0,2,172.72,Royal Challengers Bangalore,24th Match (N), Bengaluru, April 17
Wayne Parnell,8,c Dube b Deshpande,2,5,0,0,40,Royal Challengers Bangalore,24th Match (N), Bengaluru, April 17
Wanindu Hasaranga,9,not out,2,2,0,0,100,Royal Challengers Bangalore,24th Match (N), Bengaluru, April 17
Rohit Sharma (c),1,c Markram b Natarajan,28,18,6,0,155.55,Mumbai Indians,25th Match (N), Hyderabad, April 18
Ishan Kishan †,2,c Markram b Jansen,38,31,3,2,122.58,Mumbai Indians,25th Match (N), Hyderabad, April 18
Cameron Green,3,not out,64,40,6,2,160,Mumbai Indians,25th Match (N), Hyderabad, April 18
Suryakumar Yadav,4,c Markram b Jansen,7,3,0,1,233.33,Mumbai Indians,25th Match (N), Hyderabad, April 18
Tilak Varma,5,c Agarwal b Kumar,37,17,2,4,217.64,Mumbai Indians,25th Match (N), Hyderabad, April 18
Tim David,6,run out (Abhishek Sharma/Natarajan),16,11,2,0,145.45,Mumbai Indians,25th Match (N), Hyderabad, April 18
Harry Brook,1,c Yadav b Behrendorff,9,7,2,0,128.57,Sunrisers Hyderabad,25th Match (N), Hyderabad, April 18
Mayank Agarwal,2,c David b Meredith,48,41,4,1,117.07,Sunrisers Hyderabad,25th Match (N), Hyderabad, April 18
Rahul Tripathi,3,c †Ishan Kishan b Behrendorff,7,5,1,0,140,Sunrisers Hyderabad,25th Match (N), Hyderabad, April 18
Aiden Markram (c),4,c Shokeen b Green,22,17,1,1,129.41,Sunrisers Hyderabad,25th Match (N), Hyderabad, April 18
Abhishek Sharma,5,c David b Chawla,1,2,0,0,50,Sunrisers Hyderabad,25th Match (N), Hyderabad, April 18
Heinrich Klaasen †,6,c David b Chawla,36,16,4,2,225,Sunrisers Hyderabad,25th Match (N), Hyderabad, April 18
Abdul Samad,7,run out (Shokeen/†Ishan Kishan),9,12,1,0,75,Sunrisers Hyderabad,25th Match (N), Hyderabad, April 18
Marco Jansen,8,c David b Meredith,13,6,3,0,216.66,Sunrisers Hyderabad,25th Match (N), Hyderabad, April 18
Washington Sundar,9,run out (David),10,6,2,0,166.66,Sunrisers Hyderabad,25th Match (N), Hyderabad, April 18
Bhuvneshwar Kumar,10,c Sharma b Tendulkar,2,5,0,0,40,Sunrisers Hyderabad,25th Match (N), Hyderabad, April 18
Mayank Markande,11,not out,2,2,0,0,100,Sunrisers Hyderabad,25th Match (N), Hyderabad, April 18
KL Rahul (c),1,c Buttler b Holder,39,32,4,1,121.87,Lucknow Super Giants,26th Match (N), Jaipur, April 19
Kyle Mayers,2,b Ashwin,51,42,4,3,121.42,Lucknow Super Giants,26th Match (N), Jaipur, April 19
Ayush Badoni,3,b Boult,1,4,0,0,25,Lucknow Super Giants,26th Match (N), Jaipur, April 19
Deepak Hooda,4,c Hetmyer b Ashwin,2,4,0,0,50,Lucknow Super Giants,26th Match (N), Jaipur, April 19
Marcus Stoinis,5,c †Samson b Sandeep Sharma,21,16,2,0,131.25,Lucknow Super Giants,26th Match (N), Jaipur, April 19
Nicholas Pooran †,6,run out (†Samson),29,20,2,1,145,Lucknow Super Giants,26th Match (N), Jaipur, April 19
Krunal Pandya,7,not out,4,2,1,0,200,Lucknow Super Giants,26th Match (N), Jaipur, April 19
Yudhvir Singh,8,run out (Hetmyer/†Samson),1,1,0,0,100,Lucknow Super Giants,26th Match (N), Jaipur, April 19
Yashasvi Jaiswal,1,c Avesh Khan b Stoinis,44,35,4,2,125.71,Rajasthan Royals,26th Match (N), Jaipur, April 19
Jos Buttler,2,c Ravi Bishnoi b Stoinis,40,41,4,1,97.56,Rajasthan Royals,26th Match (N), Jaipur, April 19
Sanju Samson (c)†,3,run out (Mishra/†Pooran),2,4,0,0,50,Rajasthan Royals,26th Match (N), Jaipur, April 19
Devdutt Padikkal,4,c †Pooran b Avesh Khan,26,21,4,0,123.8,Rajasthan Royals,26th Match (N), Jaipur, April 19
Shimron Hetmyer,5,c Rahul b Avesh Khan,2,5,0,0,40,Rajasthan Royals,26th Match (N), Jaipur, April 19
Riyan Parag,6,not out,15,12,1,1,125,Rajasthan Royals,26th Match (N), Jaipur, April 19
Dhruv Jurel,7,c Hooda b Avesh Khan,0,1,0,0,0,Rajasthan Royals,26th Match (N), Jaipur, April 19
Ravichandran Ashwin,8,not out,3,2,0,0,150,Rajasthan Royals,26th Match (N), Jaipur, April 19
Virat Kohli (c),1,c †Sharma b Harpreet Brar,59,47,5,1,125.53,Royal Challengers Bangalore,27th Match (D/N), Mohali, April 20
Faf du Plessis,2,c Curran b Ellis,84,56,5,5,150,Royal Challengers Bangalore,27th Match (D/N), Mohali, April 20
Glenn Maxwell,3,c Taide b Harpreet Brar,0,1,0,0,0,Royal Challengers Bangalore,27th Match (D/N), Mohali, April 20
Dinesh Karthik †,4,c Taide b Arshdeep Singh,7,5,1,0,140,Royal Challengers Bangalore,27th Match (D/N), Mohali, April 20
Mahipal Lomror,5,not out,7,9,1,0,77.77,Royal Challengers Bangalore,27th Match (D/N), Mohali, April 20
Shahbaz Ahmed,6,not out,5,3,0,0,166.66,Royal Challengers Bangalore,27th Match (D/N), Mohali, April 20
Atharva Taide,1,lbw b Mohammed Siraj,4,2,1,0,200,Punjab Kings,27th Match (D/N), Mohali, April 20
Prabhsimran Singh,2,b Parnell,46,30,3,4,153.33,Punjab Kings,27th Match (D/N), Mohali, April 20
Matthew Short,3,b de Silva,8,7,0,1,114.28,Punjab Kings,27th Match (D/N), Mohali, April 20
Liam Livingstone,4,lbw b Mohammed Siraj,2,4,0,0,50,Punjab Kings,27th Match (D/N), Mohali, April 20
Harpreet Singh,5,run out (Mohammed Siraj),13,9,1,1,144.44,Punjab Kings,27th Match (D/N), Mohali, April 20
Sam Curran (c),6,run out (de Silva),10,12,1,0,83.33,Punjab Kings,27th Match (D/N), Mohali, April 20
Jitesh Sharma †,7,c Shahbaz Ahmed b Patel,41,27,2,3,151.85,Punjab Kings,27th Match (D/N), Mohali, April 20
M Shahrukh Khan,8,st †Karthik b de Silva,7,5,0,1,140,Punjab Kings,27th Match (D/N), Mohali, April 20
Harpreet Brar,9,b Mohammed Siraj,13,13,1,0,100,Punjab Kings,27th Match (D/N), Mohali, April 20
Nathan Ellis,10,b Mohammed Siraj,1,2,0,0,50,Punjab Kings,27th Match (D/N), Mohali, April 20
Arshdeep Singh,11,not out,0,0,0,0,-,Punjab Kings,27th Match (D/N), Mohali, April 20
Jason Roy,1,c Aman Hakim Khan b Kuldeep Yadav,43,39,5,1,110.25,Kolkata Knight Riders,28th Match (N), Delhi, April 20
Litton Das †,2,c Lalit Yadav b Mukesh Kumar,4,4,1,0,100,Kolkata Knight Riders,28th Match (N), Delhi, April 20
