bowler,overs,runs,wickets,maidens,economy,dot_balls,fours,sixes,wide_balls,no_balls,Match_id,team
Riley Meredith,3.4,34.0,2,0.0,9.27,10.0,5.0,1.0,0.0,1.0,16th,Mumbai Indians
Piyush Chawla,4.0,22.0,3,0.0,5.5,9.0,2.0,0.0,0.0,0.0,16th,Mumbai Indians
Tilak Varma,1.0,7.0,0,0.0,7.0,3.0,1.0,0.0,1.0,0.0,16th,Mumbai Indians
Mukesh Kumar,2.0,30.0,2,0.0,15.0,6.0,3.0,3.0,0.0,0.0,16th,Delhi Capitals
Mustafizur Rahman,4.0,38.0,1,0.0,9.5,11.0,5.0,2.0,0.0,0.0,16th,Delhi Capitals
Anrich Nortje,4.0,35.0,0,0.0,8.75,8.0,2.0,2.0,0.0,0.0,16th,Delhi Capitals
Lalit Yadav,4.0,23.0,0,0.0,5.75,10.0,1.0,1.0,1.0,0.0,16th,Delhi Capitals
Axar Patel,4.0,20.0,0,0.0,5.0,12.0,2.0,0.0,1.0,0.0,16th,Delhi Capitals
Kuldeep Yadav,2.0,23.0,0,0.0,11.5,2.0,1.0,2.0,0.0,0.0,16th,Delhi Capitals
Akash Singh,4.0,40.0,2,0.0,10.0,7.0,2.0,3.0,1.0,0.0,17th,Chennai Super Kings
Tushar Deshpande,4.0,37.0,2,0.0,9.25,7.0,4.0,1.0,1.0,0.0,17th,Chennai Super Kings
Maheesh Theekshana,4.0,42.0,0,0.0,10.5,4.0,5.0,1.0,0.0,0.0,17th,Chennai Super Kings
Ravindra Jadeja,4.0,21.0,2,0.0,5.25,11.0,0.0,0.0,3.0,0.0,17th,Chennai Super Kings
Moeen Ali,2.0,21.0,1,0.0,10.5,3.0,0.0,2.0,0.0,0.0,17th,Chennai Super Kings
Sisanda Magala,2.0,14.0,0,0.0,7.0,2.0,0.0,0.0,1.0,0.0,17th,Chennai Super Kings
Sandeep Sharma,3.0,30.0,1,0.0,10.0,6.0,1.0,2.0,2.0,0.0,17th,Rajasthan Royals
Kuldeep Sen,2.0,8.0,0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,17th,Rajasthan Royals
Jason Holder,3.0,37.0,0,0.0,12.33,4.0,4.0,2.0,1.0,0.0,17th,Rajasthan Royals
Adam Zampa,4.0,43.0,1,0.0,10.75,5.0,4.0,1.0,1.0,0.0,17th,Rajasthan Royals
Ravichandran Ashwin,4.0,25.0,2,0.0,6.25,10.0,1.0,1.0,2.0,0.0,17th,Rajasthan Royals
Yuzvendra Chahal,4.0,27.0,2,0.0,6.75,8.0,2.0,0.0,1.0,0.0,17th,Rajasthan Royals
Mohammed Shami,4.0,44.0,1,0.0,11.0,9.0,7.0,1.0,1.0,0.0,18th,Gujarat Titans
Josh Little,4.0,31.0,1,0.0,7.75,11.0,3.0,1.0,3.0,0.0,18th,Gujarat Titans
Alzarri Joseph,4.0,32.0,1,0.0,8.0,11.0,1.0,2.0,5.0,0.0,18th,Gujarat Titans
Rashid Khan,4.0,26.0,1,0.0,6.5,13.0,3.0,1.0,0.0,0.0,18th,Gujarat Titans
Mohit Sharma,4.0,18.0,2,0.0,4.5,12.0,2.0,0.0,0.0,0.0,18th,Gujarat Titans
Arshdeep Singh,4.0,33.0,1,0.0,8.25,8.0,5.0,0.0,0.0,0.0,18th,Punjab Kings
Kagiso Rabada,4.0,36.0,1,0.0,9.0,11.0,5.0,1.0,0.0,0.0,18th,Punjab Kings
Harpreet Brar,4.0,20.0,1,0.0,5.0,8.0,1.0,0.0,0.0,0.0,18th,Punjab Kings
Sam Curran,3.5,25.0,1,0.0,6.52,7.0,2.0,0.0,0.0,0.0,18th,Punjab Kings
Rahul Chahar,3.0,24.0,0,0.0,8.0,4.0,3.0,0.0,0.0,0.0,18th,Punjab Kings
Matthew Short,1.0,8.0,0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,18th,Punjab Kings
Umesh Yadav,3.0,42.0,0,0.0,14.0,3.0,3.0,3.0,1.0,0.0,19th,Kolkata Knight Riders
Lockie Ferguson,2.0,37.0,0,0.0,18.5,4.0,5.0,1.0,1.0,1.0,19th,Kolkata Knight Riders
Sunil Narine,4.0,28.0,0,0.0,7.0,7.0,1.0,1.0,2.0,0.0,19th,Kolkata Knight Riders
Andre Russell,2.1,22.0,3,0.0,10.15,4.0,2.0,1.0,2.0,0.0,19th,Kolkata Knight Riders
Varun Chakravarthy,4.0,41.0,1,0.0,10.25,4.0,3.0,2.0,1.0,0.0,19th,Kolkata Knight Riders
Suyash Sharma,4.0,44.0,0,0.0,11.0,8.0,4.0,3.0,0.0,0.0,19th,Kolkata Knight Riders
Shardul Thakur,0.5,14.0,0,0.0,16.8,0.0,3.0,0.0,0.0,0.0,19th,Kolkata Knight Riders
