batsmen,Batting Pos,out_notout,runs,balls,fours,sixes,sr,team,Match_id,Ground,Date
Shikhar Dhawan (c),2,out,57,47.0,9.0,1.0,121.27,Punjab Kings,53rd, Eden Gardens, May 08
Bhanuka Rajapaksa,3,out,0,3.0,0.0,0.0,0,Punjab Kings,53rd, Eden Gardens, May 08
Liam Livingstone,4,out,15,9.0,3.0,0.0,166.66,Punjab Kings,53rd, Eden Gardens, May 08
Jitesh Sharma †,5,out,21,18.0,0.0,2.0,116.66,Punjab Kings,53rd, Eden Gardens, May 08
Sam Curran,6,out,4,9.0,0.0,0.0,44.44,Punjab Kings,53rd, Eden Gardens, May 08
Rishi Dhawan,7,out,19,11.0,1.0,1.0,172.72,Punjab Kings,53rd, Eden Gardens, May 08
M Shahrukh Khan,8,not out,21,8.0,3.0,1.0,262.5,Punjab Kings,53rd, Eden Gardens, May 08
Harpreet Brar,9,not out,17,9.0,2.0,1.0,188.88,Punjab Kings,53rd, Eden Gardens, May 08
Jason Roy,1,out,38,24.0,8.0,0.0,158.33,Kolkata Knight Riders,53rd, Eden Gardens, May 08
Rahmanullah Gurbaz †,2,out,15,12.0,1.0,1.0,125,Kolkata Knight Riders,53rd, Eden Gardens, May 08
Nitish Rana (c),3,out,51,38.0,6.0,1.0,134.21,Kolkata Knight Riders,53rd, Eden Gardens, May 08
Venkatesh Iyer,4,out,11,13.0,0.0,0.0,84.61,Kolkata Knight Riders,53rd, Eden Gardens, May 08
Andre Russell,5,out,42,23.0,3.0,3.0,182.6,Kolkata Knight Riders,53rd, Eden Gardens, May 08
Rinku Singh,6,not out,21,10.0,2.0,1.0,210,Kolkata Knight Riders,53rd, Eden Gardens, May 08
Shardul Thakur,7,not out,0,0.0,0.0,0.0,-,Kolkata Knight Riders,53rd, Eden Gardens, May 08
Virat Kohli,1,out,1,4.0,0.0,0.0,25,Royal Challengers Bangalore,54th, Wankhede, May 09
Faf du Plessis (c),2,out,65,41.0,5.0,3.0,158.53,Royal Challengers Bangalore,54th, Wankhede, May 09
Anuj Rawat,3,out,6,4.0,1.0,0.0,150,Royal Challengers Bangalore,54th, Wankhede, May 09
Glenn Maxwell,4,out,68,33.0,8.0,4.0,206.06,Royal Challengers Bangalore,54th, Wankhede, May 09
Mahipal Lomror,5,out,1,3.0,0.0,0.0,33.33,Royal Challengers Bangalore,54th, Wankhede, May 09
Dinesh Karthik †,6,out,30,18.0,4.0,1.0,166.66,Royal Challengers Bangalore,54th, Wankhede, May 09
Kedar Jadhav,7,not out,12,10.0,1.0,0.0,120,Royal Challengers Bangalore,54th, Wankhede, May 09
Wanindu Hasaranga,8,not out,12,8.0,2.0,0.0,150,Royal Challengers Bangalore,54th, Wankhede, May 09
Ishan Kishan †,1,out,42,21.0,4.0,4.0,200,Mumbai Indians,54th, Wankhede, May 09
Rohit Sharma (c),2,out,7,8.0,1.0,0.0,87.5,Mumbai Indians,54th, Wankhede, May 09
Suryakumar Yadav,3,out,83,35.0,7.0,6.0,237.14,Mumbai Indians,54th, Wankhede, May 09
Nehal Wadhera,4,not out,52,34.0,4.0,3.0,152.94,Mumbai Indians,54th, Wankhede, May 09
Tim David,5,out,0,1.0,0.0,0.0,0,Mumbai Indians,54th, Wankhede, May 09
Cameron Green,6,not out,2,2.0,0.0,0.0,100,Mumbai Indians,54th, Wankhede, May 09
Ruturaj Gaikwad,1,out,24,18.0,4.0,0.0,133.33,Chennai Super Kings,55th, Chennai, May 10
Devon Conway,2,out,10,13.0,1.0,0.0,76.92,Chennai Super Kings,55th, Chennai, May 10
Ajinkya Rahane,3,out,21,20.0,2.0,0.0,105,Chennai Super Kings,55th, Chennai, May 10
Moeen Ali,4,out,7,12.0,0.0,0.0,58.33,Chennai Super Kings,55th, Chennai, May 10
Shivam Dube,5,out,25,12.0,0.0,3.0,208.33,Chennai Super Kings,55th, Chennai, May 10
Ambati Rayudu,6,out,23,17.0,1.0,1.0,135.29,Chennai Super Kings,55th, Chennai, May 10
Ravindra Jadeja,7,out,21,16.0,1.0,1.0,131.25,Chennai Super Kings,55th, Chennai, May 10
MS Dhoni (c)†,8,out,20,9.0,1.0,2.0,222.22,Chennai Super Kings,55th, Chennai, May 10
Deepak Chahar,9,not out,1,2.0,0.0,0.0,50,Chennai Super Kings,55th, Chennai, May 10
Tushar Deshpande,10,not out,0,1.0,0.0,0.0,0,Chennai Super Kings,55th, Chennai, May 10
David Warner (c),1,out,0,2.0,0.0,0.0,0,Delhi Capitals,55th, Chennai, May 10
Phil Salt †,2,out,17,11.0,1.0,2.0,154.54,Delhi Capitals,55th, Chennai, May 10
Mitchell Marsh,3,out,5,4.0,1.0,0.0,125,Delhi Capitals,55th, Chennai, May 10
Manish Pandey,4,out,27,29.0,1.0,2.0,93.1,Delhi Capitals,55th, Chennai, May 10
Rilee Rossouw,5,out,35,37.0,2.0,1.0,94.59,Delhi Capitals,55th, Chennai, May 10
Ripal Patel,6,out,10,16.0,0.0,0.0,62.5,Delhi Capitals,55th, Chennai, May 10
Axar Patel,7,out,21,12.0,2.0,1.0,175,Delhi Capitals,55th, Chennai, May 10
Aman Hakim Khan,8,not out,2,3.0,0.0,0.0,66.66,Delhi Capitals,55th, Chennai, May 10
Lalit Yadav,9,out,12,5.0,3.0,0.0,240,Delhi Capitals,55th, Chennai, May 10
Kuldeep Yadav,10,not out,0,1.0,0.0,0.0,0,Delhi Capitals,55th, Chennai, May 10
Jason Roy,1,out,10,8.0,2.0,0.0,125,Kolkata Knight Riders,56th, Eden Gardens, May 11
Rahmanullah Gurbaz †,2,out,18,12.0,1.0,2.0,150,Kolkata Knight Riders,56th, Eden Gardens, May 11
Venkatesh Iyer,3,out,57,42.0,2.0,4.0,135.71,Kolkata Knight Riders,56th, Eden Gardens, May 11
Nitish Rana (c),4,out,22,17.0,2.0,0.0,129.41,Kolkata Knight Riders,56th, Eden Gardens, May 11
Andre Russell,5,out,10,10.0,0.0,1.0,100,Kolkata Knight Riders,56th, Eden Gardens, May 11
Rinku Singh,6,out,16,18.0,0.0,1.0,88.88,Kolkata Knight Riders,56th, Eden Gardens, May 11
Shardul Thakur,7,out,1,2.0,0.0,0.0,50,Kolkata Knight Riders,56th, Eden Gardens, May 11
Anukul Roy,8,not out,6,6.0,0.0,0.0,100,Kolkata Knight Riders,56th, Eden Gardens, May 11
Sunil Narine,9,out,6,5.0,1.0,0.0,120,Kolkata Knight Riders,56th, Eden Gardens, May 11
Yashasvi Jaiswal,1,not out,98,47.0,12.0,5.0,208.51,Rajasthan Royals,56th, Eden Gardens, May 11
Jos Buttler,2,out,0,3.0,0.0,0.0,0,Rajasthan Royals,56th, Eden Gardens, May 11
Sanju Samson (c)†,3,not out,48,29.0,2.0,5.0,165.51,Rajasthan Royals,56th, Eden Gardens, May 11
Ishan Kishan †,1,out,31,20.0,4.0,1.0,155,Mumbai Indians,57th, Wankhede, May 12
Rohit Sharma (c),2,out,29,18.0,3.0,2.0,161.11,Mumbai Indians,57th, Wankhede, May 12
Suryakumar Yadav,3,not out,103,49.0,11.0,6.0,210.2,Mumbai Indians,57th, Wankhede, May 12
Nehal Wadhera,4,out,15,7.0,1.0,1.0,214.28,Mumbai Indians,57th, Wankhede, May 12
Vishnu Vinod,5,out,30,20.0,2.0,2.0,150,Mumbai Indians,57th, Wankhede, May 12
Tim David,6,out,5,3.0,1.0,0.0,166.66,Mumbai Indians,57th, Wankhede, May 12
Cameron Green,7,not out,3,3.0,0.0,0.0,100,Mumbai Indians,57th, Wankhede, May 12
Wriddhiman Saha †,1,out,2,5.0,0.0,0.0,40,Gujarat Titans,57th, Wankhede, May 12
Shubman Gill,2,out,6,9.0,0.0,0.0,66.66,Gujarat Titans,57th, Wankhede, May 12
Hardik Pandya (c),3,out,4,3.0,1.0,0.0,133.33,Gujarat Titans,57th, Wankhede, May 12
Vijay Shankar,4,out,29,14.0,6.0,0.0,207.14,Gujarat Titans,57th, Wankhede, May 12
David Miller,5,out,41,26.0,4.0,2.0,157.69,Gujarat Titans,57th, Wankhede, May 12
Abhinav Manohar,6,out,2,3.0,0.0,0.0,66.66,Gujarat Titans,57th, Wankhede, May 12
Rahul Tewatia,7,out,14,13.0,1.0,0.0,107.69,Gujarat Titans,57th, Wankhede, May 12
Rashid Khan,8,not out,79,32.0,3.0,10.0,246.87,Gujarat Titans,57th, Wankhede, May 12
Noor Ahmad,9,out,1,3.0,0.0,0.0,33.33,Gujarat Titans,57th, Wankhede, May 12
Alzarri Joseph,10,not out,7,12.0,1.0,0.0,58.33,Gujarat Titans,57th, Wankhede, May 12
Anmolpreet Singh,1,out,36,27.0,7.0,0.0,133.33,Sunrisers Hyderabad,58th, Hyderabad, May 13
Abhishek Sharma,2,out,7,5.0,1.0,0.0,140,Sunrisers Hyderabad,58th, Hyderabad, May 13
Rahul Tripathi,3,out,20,13.0,4.0,0.0,153.84,Sunrisers Hyderabad,58th, Hyderabad, May 13
Aiden Markram (c),4,out,28,20.0,2.0,1.0,140,Sunrisers Hyderabad,58th, Hyderabad, May 13
Heinrich Klaasen †,5,out,47,29.0,3.0,3.0,162.06,Sunrisers Hyderabad,58th, Hyderabad, May 13
Glenn Phillips,6,out,0,1.0,0.0,0.0,0,Sunrisers Hyderabad,58th, Hyderabad, May 13
Abdul Samad,7,not out,37,25.0,1.0,4.0,148,Sunrisers Hyderabad,58th, Hyderabad, May 13
Bhuvneshwar Kumar,8,not out,2,1.0,0.0,0.0,200,Sunrisers Hyderabad,58th, Hyderabad, May 13
Kyle Mayers,1,out,2,14.0,0.0,0.0,14.28,Lucknow Super Giants,58th, Hyderabad, May 13
Quinton de Kock †,2,out,29,19.0,3.0,1.0,152.63,Lucknow Super Giants,58th, Hyderabad, May 13
Prerak Mankad,3,not out,64,45.0,7.0,2.0,142.22,Lucknow Super Giants,58th, Hyderabad, May 13
Marcus Stoinis,4,out,40,25.0,2.0,3.0,160,Lucknow Super Giants,58th, Hyderabad, May 13
Nicholas Pooran,5,not out,44,13.0,3.0,4.0,338.46,Lucknow Super Giants,58th, Hyderabad, May 13
Prabhsimran Singh,1,out,103,65.0,10.0,6.0,158.46,Punjab Kings,59th, Delhi, May 13
Shikhar Dhawan (c),2,out,7,5.0,0.0,1.0,140,Punjab Kings,59th, Delhi, May 13
Liam Livingstone,3,out,4,5.0,1.0,0.0,80,Punjab Kings,59th, Delhi, May 13
Jitesh Sharma †,4,out,5,5.0,1.0,0.0,100,Punjab Kings,59th, Delhi, May 13
Sam Curran,5,out,20,24.0,1.0,0.0,83.33,Punjab Kings,59th, Delhi, May 13
Harpreet Brar,6,out,2,5.0,0.0,0.0,40,Punjab Kings,59th, Delhi, May 13
M Shahrukh Khan,7,out,2,4.0,0.0,0.0,50,Punjab Kings,59th, Delhi, May 13
Sikandar Raza,8,not out,11,7.0,0.0,1.0,157.14,Punjab Kings,59th, Delhi, May 13
Rishi Dhawan,9,not out,0,0.0,0.0,0.0,-,Punjab Kings,59th, Delhi, May 13
David Warner (c),1,out,54,27.0,10.0,1.0,200,Delhi Capitals,59th, Delhi, May 13
Phil Salt †,2,out,21,17.0,3.0,0.0,123.52,Delhi Capitals,59th, Delhi, May 13
Mitchell Marsh,3,out,3,4.0,0.0,0.0,75,Delhi Capitals,59th, Delhi, May 13
Rilee Rossouw,4,out,5,5.0,1.0,0.0,100,Delhi Capitals,59th, Delhi, May 13
Axar Patel,5,out,1,2.0,0.0,0.0,50,Delhi Capitals,59th, Delhi, May 13
Manish Pandey,6,out,0,3.0,0.0,0.0,0,Delhi Capitals,59th, Delhi, May 13
Aman Hakim Khan,7,out,16,18.0,1.0,1.0,88.88,Delhi Capitals,59th, Delhi, May 13
Praveen Dubey,8,out,16,20.0,2.0,0.0,80,Delhi Capitals,59th, Delhi, May 13
Kuldeep Yadav,9,not out,10,17.0,0.0,0.0,58.82,Delhi Capitals,59th, Delhi, May 13
Mukesh Kumar,10,not out,6,7.0,0.0,0.0,85.71,Delhi Capitals,59th, Delhi, May 13
Virat Kohli,1,out,18,19.0,1.0,0.0,94.73,Royal Challengers Bangalore,60th, Jaipur, May 14
Faf du Plessis (c),2,out,55,44.0,3.0,2.0,125,Royal Challengers Bangalore,60th, Jaipur, May 14
Glenn Maxwell,3,out,54,33.0,5.0,3.0,163.63,Royal Challengers Bangalore,60th, Jaipur, May 14
Mahipal Lomror,4,out,1,2.0,0.0,0.0,50,Royal Challengers Bangalore,60th, Jaipur, May 14
Dinesh Karthik †,5,out,0,2.0,0.0,0.0,0,Royal Challengers Bangalore,60th, Jaipur, May 14
Michael Bracewell,6,not out,9,9.0,0.0,0.0,100,Royal Challengers Bangalore,60th, Jaipur, May 14
Anuj Rawat,7,not out,29,11.0,3.0,2.0,263.63,Royal Challengers Bangalore,60th, Jaipur, May 14
Yashasvi Jaiswal,1,out,0,2.0,0.0,0.0,0,Rajasthan Royals,60th, Jaipur, May 14
Jos Buttler,2,out,0,2.0,0.0,0.0,0,Rajasthan Royals,60th, Jaipur, May 14
Sanju Samson (c)†,3,out,4,5.0,1.0,0.0,80,Rajasthan Royals,60th, Jaipur, May 14
Joe Root,4,out,10,15.0,1.0,0.0,66.66,Rajasthan Royals,60th, Jaipur, May 14
Devdutt Padikkal,5,out,4,4.0,1.0,0.0,100,Rajasthan Royals,60th, Jaipur, May 14
Shimron Hetmyer,6,out,35,19.0,1.0,4.0,184.21,Rajasthan Royals,60th, Jaipur, May 14
Dhruv Jurel,7,out,1,7.0,0.0,0.0,14.28,Rajasthan Royals,60th, Jaipur, May 14
Ravichandran Ashwin,8,out,0,0.0,0.0,0.0,-,Rajasthan Royals,60th, Jaipur, May 14
Adam Zampa,9,out,2,6.0,0.0,0.0,33.33,Rajasthan Royals,60th, Jaipur, May 14
Sandeep Sharma,10,not out,0,1.0,0.0,0.0,0,Rajasthan Royals,60th, Jaipur, May 14
KM Asif,11,out,0,2.0,0.0,0.0,0,Rajasthan Royals,60th, Jaipur, May 14
Ruturaj Gaikwad,1,out,17,13.0,2.0,0.0,130.76,Chennai Super Kings,61st, Chennai, May 14
Devon Conway,2,out,30,28.0,3.0,0.0,107.14,Chennai Super Kings,61st, Chennai, May 14
Ajinkya Rahane,3,out,16,11.0,1.0,1.0,145.45,Chennai Super Kings,61st, Chennai, May 14
Ambati Rayudu,4,out,4,7.0,0.0,0.0,57.14,Chennai Super Kings,61st, Chennai, May 14
Shivam Dube,5,not out,48,34.0,1.0,3.0,141.17,Chennai Super Kings,61st, Chennai, May 14
Moeen Ali,6,out,1,2.0,0.0,0.0,50,Chennai Super Kings,61st, Chennai, May 14
Ravindra Jadeja,7,out,20,24.0,0.0,1.0,83.33,Chennai Super Kings,61st, Chennai, May 14
MS Dhoni (c)†,8,not out,2,3.0,0.0,0.0,66.66,Chennai Super Kings,61st, Chennai, May 14
Jason Roy,1,out,12,15.0,1.0,0.0,80,Kolkata Knight Riders,61st, Chennai, May 14
Rahmanullah Gurbaz †,2,out,1,4.0,0.0,0.0,25,Kolkata Knight Riders,61st, Chennai, May 14
Venkatesh Iyer,3,out,9,4.0,2.0,0.0,225,Kolkata Knight Riders,61st, Chennai, May 14
Nitish Rana (c),4,not out,57,44.0,6.0,1.0,129.54,Kolkata Knight Riders,61st, Chennai, May 14
Rinku Singh,5,out,54,43.0,4.0,3.0,125.58,Kolkata Knight Riders,61st, Chennai, May 14
Andre Russell,6,not out,2,2.0,0.0,0.0,100,Kolkata Knight Riders,61st, Chennai, May 14
Wriddhiman Saha †,1,out,0,3.0,0.0,0.0,0,Gujarat Titans,62nd, Ahmedabad, May 15
Shubman Gill,2,out,101,58.0,13.0,1.0,174.13,Gujarat Titans,62nd, Ahmedabad, May 15
Sai Sudharsan,3,out,47,36.0,6.0,1.0,130.55,Gujarat Titans,62nd, Ahmedabad, May 15
Hardik Pandya (c),4,out,8,6.0,1.0,0.0,133.33,Gujarat Titans,62nd, Ahmedabad, May 15
David Miller,5,out,7,5.0,1.0,0.0,140,Gujarat Titans,62nd, Ahmedabad, May 15
Rahul Tewatia,6,out,3,3.0,0.0,0.0,100,Gujarat Titans,62nd, Ahmedabad, May 15
Dasun Shanaka,7,not out,9,7.0,1.0,0.0,128.57,Gujarat Titans,62nd, Ahmedabad, May 15
Rashid Khan,8,out,0,1.0,0.0,0.0,0,Gujarat Titans,62nd, Ahmedabad, May 15
Noor Ahmad,9,out,0,1.0,0.0,0.0,0,Gujarat Titans,62nd, Ahmedabad, May 15
Mohammed Shami,10,out,0,1.0,0.0,0.0,0,Gujarat Titans,62nd, Ahmedabad, May 15
Mohit Sharma,11,not out,0,1.0,0.0,0.0,0,Gujarat Titans,62nd, Ahmedabad, May 15
Anmolpreet Singh,1,out,5,4.0,1.0,0.0,125,Sunrisers Hyderabad,62nd, Ahmedabad, May 15
Abhishek Sharma,2,out,5,5.0,1.0,0.0,100,Sunrisers Hyderabad,62nd, Ahmedabad, May 15
Aiden Markram (c),3,out,10,10.0,1.0,0.0,100,Sunrisers Hyderabad,62nd, Ahmedabad, May 15
Rahul Tripathi,4,out,1,2.0,0.0,0.0,50,Sunrisers Hyderabad,62nd, Ahmedabad, May 15
Heinrich Klaasen †,5,out,64,44.0,4.0,3.0,145.45,Sunrisers Hyderabad,62nd, Ahmedabad, May 15
Sanvir Singh,6,out,7,6.0,0.0,1.0,116.66,Sunrisers Hyderabad,62nd, Ahmedabad, May 15
Abdul Samad,7,out,4,3.0,1.0,0.0,133.33,Sunrisers Hyderabad,62nd, Ahmedabad, May 15
Marco Jansen,8,out,3,6.0,0.0,0.0,50,Sunrisers Hyderabad,62nd, Ahmedabad, May 15
Bhuvneshwar Kumar,9,out,27,26.0,3.0,0.0,103.84,Sunrisers Hyderabad,62nd, Ahmedabad, May 15
Mayank Markande,10,not out,18,9.0,2.0,1.0,200,Sunrisers Hyderabad,62nd, Ahmedabad, May 15
Fazalhaq Farooqi,11,not out,1,5.0,0.0,0.0,20,Sunrisers Hyderabad,62nd, Ahmedabad, May 15
Deepak Hooda,1,out,5,7.0,0.0,0.0,71.42,Lucknow Super Giants,63rd, Lucknow, May 16
Quinton de Kock †,2,out,16,15.0,0.0,2.0,106.66,Lucknow Super Giants,63rd, Lucknow, May 16
Prerak Mankad,3,out,0,1.0,0.0,0.0,0,Lucknow Super Giants,63rd, Lucknow, May 16
Krunal Pandya (c),4,out,49,42.0,1.0,1.0,116.66,Lucknow Super Giants,63rd, Lucknow, May 16
Marcus Stoinis,5,not out,89,47.0,4.0,8.0,189.36,Lucknow Super Giants,63rd, Lucknow, May 16
Nicholas Pooran,6,not out,8,8.0,1.0,0.0,100,Lucknow Super Giants,63rd, Lucknow, May 16
Ishan Kishan †,1,out,59,39.0,8.0,1.0,151.28,Mumbai Indians,63rd, Lucknow, May 16
Rohit Sharma (c),2,out,37,25.0,1.0,3.0,148,Mumbai Indians,63rd, Lucknow, May 16
Suryakumar Yadav,3,out,7,9.0,0.0,0.0,77.77,Mumbai Indians,63rd, Lucknow, May 16
Nehal Wadhera,4,out,16,20.0,2.0,0.0,80,Mumbai Indians,63rd, Lucknow, May 16
Tim David,5,not out,32,19.0,1.0,3.0,168.42,Mumbai Indians,63rd, Lucknow, May 16
Vishnu Vinod,6,out,2,4.0,0.0,0.0,50,Mumbai Indians,63rd, Lucknow, May 16
Cameron Green,7,not out,4,6.0,0.0,0.0,66.66,Mumbai Indians,63rd, Lucknow, May 16
David Warner (c),1,out,46,31.0,5.0,2.0,148.38,Delhi Capitals,64th, Dharamsala, May 17
Prithvi Shaw,2,out,54,38.0,7.0,1.0,142.1,Delhi Capitals,64th, Dharamsala, May 17
Rilee Rossouw,3,not out,82,37.0,6.0,6.0,221.62,Delhi Capitals,64th, Dharamsala, May 17
Phil Salt †,4,not out,26,14.0,2.0,2.0,185.71,Delhi Capitals,64th, Dharamsala, May 17
Prabhsimran Singh,1,out,22,19.0,4.0,0.0,115.78,Punjab Kings,64th, Dharamsala, May 17
Shikhar Dhawan (c),2,out,0,1.0,0.0,0.0,0,Punjab Kings,64th, Dharamsala, May 17
Atharva Taide,3,out,55,42.0,5.0,2.0,130.95,Punjab Kings,64th, Dharamsala, May 17
Liam Livingstone,4,out,94,48.0,5.0,9.0,195.83,Punjab Kings,64th, Dharamsala, May 17
Jitesh Sharma †,5,out,0,3.0,0.0,0.0,0,Punjab Kings,64th, Dharamsala, May 17
M Shahrukh Khan,6,out,6,3.0,0.0,1.0,200,Punjab Kings,64th, Dharamsala, May 17
Sam Curran,7,out,11,5.0,1.0,1.0,220,Punjab Kings,64th, Dharamsala, May 17
Harpreet Brar,8,out,0,1.0,0.0,0.0,0,Punjab Kings,64th, Dharamsala, May 17
Rahul Chahar,9,not out,0,0.0,0.0,0.0,-,Punjab Kings,64th, Dharamsala, May 17
Abhishek Sharma,1,out,11,14.0,2.0,0.0,78.57,Sunrisers Hyderabad,65th, Hyderabad, May 18
Rahul Tripathi,2,out,15,12.0,2.0,1.0,125,Sunrisers Hyderabad,65th, Hyderabad, May 18
Aiden Markram (c),3,out,18,20.0,0.0,0.0,90,Sunrisers Hyderabad,65th, Hyderabad, May 18
Heinrich Klaasen †,4,out,104,51.0,8.0,6.0,203.92,Sunrisers Hyderabad,65th, Hyderabad, May 18
Harry Brook,5,not out,27,19.0,2.0,1.0,142.1,Sunrisers Hyderabad,65th, Hyderabad, May 18
Glenn Phillips,6,out,5,4.0,1.0,0.0,125,Sunrisers Hyderabad,65th, Hyderabad, May 18
Virat Kohli,1,out,100,63.0,12.0,4.0,158.73,Royal Challengers Bangalore,65th, Hyderabad, May 18
Faf du Plessis (c),2,out,71,47.0,7.0,2.0,151.06,Royal Challengers Bangalore,65th, Hyderabad, May 18
Glenn Maxwell,3,not out,5,3.0,1.0,0.0,166.66,Royal Challengers Bangalore,65th, Hyderabad, May 18
Michael Bracewell,4,not out,4,4.0,0.0,0.0,100,Royal Challengers Bangalore,65th, Hyderabad, May 18
Prabhsimran Singh,1,out,2,2.0,0.0,0.0,100,Punjab Kings,66th, Dharamsala, May 19
Shikhar Dhawan (c),2,out,17,12.0,2.0,1.0,141.66,Punjab Kings,66th, Dharamsala, May 19
Atharva Taide,3,out,19,12.0,3.0,1.0,158.33,Punjab Kings,66th, Dharamsala, May 19
Liam Livingstone,4,out,9,13.0,1.0,0.0,69.23,Punjab Kings,66th, Dharamsala, May 19
Sam Curran,5,not out,49,31.0,4.0,2.0,158.06,Punjab Kings,66th, Dharamsala, May 19
Jitesh Sharma †,6,out,44,28.0,3.0,3.0,157.14,Punjab Kings,66th, Dharamsala, May 19
M Shahrukh Khan,7,not out,41,23.0,4.0,2.0,178.26,Punjab Kings,66th, Dharamsala, May 19
Yashasvi Jaiswal,1,out,50,36.0,8.0,0.0,138.88,Rajasthan Royals,66th, Dharamsala, May 19
Jos Buttler,2,out,0,4.0,0.0,0.0,0,Rajasthan Royals,66th, Dharamsala, May 19
Devdutt Padikkal,3,out,51,30.0,5.0,3.0,170,Rajasthan Royals,66th, Dharamsala, May 19
Sanju Samson (c)†,4,out,2,3.0,0.0,0.0,66.66,Rajasthan Royals,66th, Dharamsala, May 19
Shimron Hetmyer,5,out,46,28.0,4.0,3.0,164.28,Rajasthan Royals,66th, Dharamsala, May 19
Riyan Parag,6,out,20,12.0,1.0,2.0,166.66,Rajasthan Royals,66th, Dharamsala, May 19
Dhruv Jurel,7,not out,10,4.0,0.0,1.0,250,Rajasthan Royals,66th, Dharamsala, May 19
Trent Boult,8,not out,1,2.0,0.0,0.0,50,Rajasthan Royals,66th, Dharamsala, May 19
Ruturaj Gaikwad,1,out,79,50.0,3.0,7.0,158,Chennai Super Kings,67th, Delhi, May 20
Devon Conway,2,out,87,52.0,11.0,3.0,167.3,Chennai Super Kings,67th, Delhi, May 20
Shivam Dube,3,out,22,9.0,0.0,3.0,244.44,Chennai Super Kings,67th, Delhi, May 20
MS Dhoni (c)†,4,not out,5,4.0,0.0,0.0,125,Chennai Super Kings,67th, Delhi, May 20
Ravindra Jadeja,5,not out,20,7.0,3.0,1.0,285.71,Chennai Super Kings,67th, Delhi, May 20
Prithvi Shaw,1,out,5,7.0,1.0,0.0,71.42,Delhi Capitals,67th, Delhi, May 20
David Warner (c),2,out,86,58.0,7.0,5.0,148.27,Delhi Capitals,67th, Delhi, May 20
Phil Salt †,3,out,3,6.0,0.0,0.0,50,Delhi Capitals,67th, Delhi, May 20
Rilee Rossouw,4,out,0,1.0,0.0,0.0,0,Delhi Capitals,67th, Delhi, May 20
Yash Dhull,5,out,13,15.0,1.0,0.0,86.66,Delhi Capitals,67th, Delhi, May 20
Axar Patel,6,out,15,8.0,1.0,1.0,187.5,Delhi Capitals,67th, Delhi, May 20
Aman Hakim Khan,7,out,7,9.0,1.0,0.0,77.77,Delhi Capitals,67th, Delhi, May 20
Lalit Yadav,8,out,6,12.0,0.0,0.0,50,Delhi Capitals,67th, Delhi, May 20
Anrich Nortje,9,not out,0,1.0,0.0,0.0,0,Delhi Capitals,67th, Delhi, May 20
Kuldeep Yadav,10,out,0,1.0,0.0,0.0,0,Delhi Capitals,67th, Delhi, May 20
Chetan Sakariya,11,not out,0,2.0,0.0,0.0,0,Delhi Capitals,67th, Delhi, May 20
Karan Sharma,1,out,3,5.0,0.0,0.0,60,Lucknow Super Giants,68th, Eden Gardens, May 20
Quinton de Kock †,2,out,28,27.0,0.0,2.0,103.7,Lucknow Super Giants,68th, Eden Gardens, May 20
Prerak Mankad,3,out,26,20.0,5.0,0.0,130,Lucknow Super Giants,68th, Eden Gardens, May 20
Marcus Stoinis,4,out,0,2.0,0.0,0.0,0,Lucknow Super Giants,68th, Eden Gardens, May 20
Krunal Pandya (c),5,out,9,8.0,0.0,1.0,112.5,Lucknow Super Giants,68th, Eden Gardens, May 20
Ayush Badoni,6,out,25,21.0,2.0,1.0,119.04,Lucknow Super Giants,68th, Eden Gardens, May 20
Nicholas Pooran,7,out,58,30.0,4.0,5.0,193.33,Lucknow Super Giants,68th, Eden Gardens, May 20
Krishnappa Gowtham,8,not out,11,4.0,1.0,1.0,275,Lucknow Super Giants,68th, Eden Gardens, May 20
Ravi Bishnoi,9,out,2,2.0,0.0,0.0,100,Lucknow Super Giants,68th, Eden Gardens, May 20
Naveen-ul-Haq,10,not out,2,3.0,0.0,0.0,66.66,Lucknow Super Giants,68th, Eden Gardens, May 20
Jason Roy,1,out,45,28.0,7.0,1.0,160.71,Kolkata Knight Riders,68th, Eden Gardens, May 20
Venkatesh Iyer,2,out,24,15.0,3.0,1.0,160,Kolkata Knight Riders,68th, Eden Gardens, May 20
Nitish Rana (c),3,out,8,10.0,1.0,0.0,80,Kolkata Knight Riders,68th, Eden Gardens, May 20
Rahmanullah Gurbaz †,4,out,10,15.0,0.0,0.0,66.66,Kolkata Knight Riders,68th, Eden Gardens, May 20
Rinku Singh,5,not out,67,33.0,6.0,4.0,203.03,Kolkata Knight Riders,68th, Eden Gardens, May 20
Andre Russell,6,out,7,9.0,0.0,1.0,77.77,Kolkata Knight Riders,68th, Eden Gardens, May 20
Shardul Thakur,7,out,3,7.0,0.0,0.0,42.85,Kolkata Knight Riders,68th, Eden Gardens, May 20
Sunil Narine,8,out,1,2.0,0.0,0.0,50,Kolkata Knight Riders,68th, Eden Gardens, May 20
Vaibhav Arora,9,not out,1,1.0,0.0,0.0,100,Kolkata Knight Riders,68th, Eden Gardens, May 20
Vivrant Sharma,1,out,69,47.0,9.0,2.0,146.8,Sunrisers Hyderabad,69th, Wankhede, May 21
Mayank Agarwal,2,out,83,46.0,8.0,4.0,180.43,Sunrisers Hyderabad,69th, Wankhede, May 21
Heinrich Klaasen †,3,out,18,13.0,2.0,0.0,138.46,Sunrisers Hyderabad,69th, Wankhede, May 21
